"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"E.Stuart",412150.475797581,279117.322388234,620349.0840292,81339.2,121071.3,155765.6,52284.4,85104.5
"L.Stuart",1108273.80071075,854872.426990654,1410247.29321779,46306.7,116804.1,338258.4,152579.4,140640.2
"Stellako",291320.695667198,170838.684869728,542579.617352245,89999.8,108916.5,135077.9,157144.4,107523.65
"Bowron",24592.0803132548,13480.0543582873,90084.6187922606,11012.6,5854.2,8150.3,4399.6,8576.08333333333
"Raft",20005.5089465332,14683.9371604849,37611.3439304916,4342.4,6416.3,8698.2,38545.2,12459.8166666667
"Quesnel",799588.159650684,513364.302507952,1273002.8182314,81529.8,424902.4,730910.3,617028.2,335840.216666667
"Chilko",481538.223406056,382926.250607979,648861.163156241,210280.2,248322.9,770600.1,430356,416165.716666667
"L.Shuswap",1146288.03577957,760882.098124643,1607293.61822193,551339,633227.7,855073.5,1003474.22222222,787684.879310345
"Birkenhead",95444.5643125316,69856.1002815615,164193.924855483,95479.5,115841,150203.1,89991.4,97151.45
"Portage",120566.185098713,84391.5356605498,172429.711947058,4839.6,7482.7,11584.3,6145.44444444444,7439.32142857143
"Weaver",505839.78315566,235495.338478038,1103203.74014192,42612.1,79485.7,49030.5,36789,50424.0869565217
"Fennell",7362.61498683237,5405.65092933345,12249.6122106598,2852.5,8348.3,12306.7,6663.3,6915.21276595745
"Gates",147867.255035022,98054.0661081366,222929.752236973,4714.5,16048,23254.1,17601,16072.9545454545
"Nadina",677079.784894546,339094.544227586,1345076.50484034,16354,12858.9,17286.6,39157.5,21633.5897435897
"Pitt",25300.7808891837,20273.9152206618,35782.8040139925,22101,18407.9,28047.4,59429.4,28089.4166666667
"Harrison",1494346.46118988,79074.6146793019,20806695950693.6,11669.6,4524.2,7933.8,107232.2,53234.0833333333
