"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"E.Stuart",414434.119594322,280703.654590391,623714.442976243,81339.2,121071.3,155765.6,52284.4,85104.5
"L.Stuart",1113458.62175378,859586.031266639,1415599.61842659,46306.7,116804.1,338258.4,152579.4,140640.2
"Stellako",292486.242670247,171471.775225712,545040.649663315,89999.8,108916.5,135077.9,157144.4,107523.65
"Bowron",24702.4790420066,13533.5932372288,90572.8658398893,11012.6,5854.2,8150.3,4399.6,8576.08333333333
"Raft",20106.5244097022,14749.7791042957,37833.8165624177,4342.4,6416.3,8698.2,38545.2,12459.8166666667
"Quesnel",804521.745873751,516769.500268487,1278908.10671565,81529.8,424902.4,730910.3,617028.2,335840.216666667
"Chilko",482768.761187478,383643.741318519,650536.727889142,210280.2,248322.9,770600.1,430356,416165.716666667
"L.Shuswap",1153150.6719212,765887.659105419,1615014.06900977,551339,633227.7,855073.5,1003474.22222222,787684.879310345
"Birkenhead",95672.0633040008,70009.3764203156,164804.496143833,95479.5,115841,150203.1,89991.4,97151.45
"Portage",121007.29382273,84754.924331935,172895.757501713,4839.6,7482.7,11584.3,6145.44444444444,7439.32142857143
"Weaver",507370.204854102,236294.714148773,1106422.92858969,42612.1,79485.7,49030.5,36789,50424.0869565217
"Fennell",7377.61316430439,5420.06340310027,12286.206953316,2852.5,8348.3,12306.7,6663.3,6915.21276595745
"Gates",148705.326016771,98636.5576963295,223971.892379379,4714.5,16048,23254.1,17601,16072.9545454545
"Nadina",681112.304605605,341075.78971104,1351925.29766764,16354,12858.9,17286.6,39157.5,21633.5897435897
"Pitt",25401.6649074834,20349.8187677081,35972.035335408,22101,18407.9,28047.4,59429.4,28089.4166666667
"Harrison",1504090.33687011,79526.3220958072,20945812586635.2,11669.6,4524.2,7933.8,107232.2,53234.0833333333
